Samples	Depth [m]	Temperature [ºC]	Salinity [PSU]	Density [kg/m3]	Oxygen [ml/l]	Oxygen [%]	Fluorescence [mg/m3]	Orthophosphate [uM]	Silicic-acid [uM]	Nitrite [uM]	Nitrates [uM]	Nitrate [uM]	NP ratio
S25_Z05	80	11.306	33.94	1026.258	4.999	80.858	1.361	1.516	4.914	0.032	20.168	20.135	13.3
S25_Z07	150	10.332	34.46	1027.158	0.827	13.144	1.332	2.629	19.97	0.01	29.37	29.36	11.174
S25_Z09	500	5.938	34.3	1029.323	3.965	57.04	1.189	2.002	16.045	0.01	31.26	31.25	15.618
S26_Z00	3	16.566	34.34	1025.127	5.39	97.248	4.023	0.725	0.763	0.251	3.597	3.345	4.959
S26_Z01	20	16.421	34.34	1025.238	5.408	97.302	8.621	0.701	0.737	0.236	3.553	3.317	5.067
S26_Z03	50	13.512	34.18	1025.883	4.854	82.343	1.944	1.323	1.998	0.231	13.375	13.144	10.113
S26_Z05	80	11.391	34.25	1026.49	3.128	50.787	1.421	1.603	5.188	0.015	20.151	20.136	12.568
S26_Z07	150	10.912	34.57	1027.137	0.533	8.581	1.316	2.75	19.325	0.01	27.643	27.633	10.052
S26_Z09	500	6.018	34.3	1029.31	4.029	58.064	1.16	2.023	15.2	0.014	31.403	31.389	15.523
S27_Z00	3	13.241	34.35	1025.862	5.609	94.718	34.034	1.182	0.83	0.425	10.333	9.908	8.74
S27_Z01	20	12.813	34.36	1026.025	4.269	71.465	11.111	2.278	8.049	0.511	21.365	20.854	9.378
S27_Z03	50	11.622	34.46	1026.467	1.435	23.448	1.799	2.764	17.978	0.338	26.133	25.795	9.453
S27_Z05	80	11.395	34.54	1026.71	0.596	9.689	1.316	2.702	18.517	0.054	26.484	26.43	9.8
S27_Z07	150	11.393	34.71	1027.16	0.092	1.494	1.379	2.693	25.468	0.01	23.698	23.688	8.799
S27_Z09	450	9.047	34.564	1028.825	0.362	5.592	1.321	2.863	26.083	0.06	34.553	34.493	12.067
S28_Z00	2	16.339	34.37	1025.2	5.246	94.261	7.139	0.738	0.937	0.236	4.112	3.876	5.574
S28_Z01	20	15.869	34.34	1025.367	5.25	93.449	7.062	0.947	1.377	0.347	7.222	6.875	7.629
S28_Z03	50	13.38	34.21	1025.931	4.643	78.551	4.349	1.335	3.849	0.431	16.01	15.579	11.989
S28_Z05	80	11.883	34.28	1026.414	3.473	56.996	2.496	1.898	8.457	0.089	22.678	22.589	11.948
S28_Z07	150	10.44	34.47	1027.146	0.915	14.581	1.338	2.676	18.405	0.018	28.423	28.405	10.621
S28_Z09	500	6.606	34.39	1029.301	2.469	36.097	1.21	2.161	19.46	0.01	32.413	32.403	14.999
S29_Z00	5	16.895	34.41	1025.11	5.207	94.578	6.65	0.671	0.713	0.197	2.672	2.474	3.981
S29_Z01	20	16.896	34.41	1025.176	5.194	94.354	7.42	0.68	0.76	0.208	2.978	2.77	4.379
